====== NF616 Norm                               =======
        SRIM-2006.02
==========================================
    Ion and Target VACANCY production     
  See SRIM Outputs\TDATA.txt for calc. details
==========================================
 See file :  SRIM Outputs\TDATA.txt for calculation data
 Ion    =  H   Energy = 2600 keV
============= TARGET MATERIAL ======================================
Layer  1 : NF616 Norm
Layer Width =     5.E+05 A ;
  Layer # 1- Density = 8.544E22 atoms/cm3 = 7.960 g/cm3
  Layer # 1- Fe = 90.5 Atomic Percent = 90.1 Mass Percent
  Layer # 1- Ni = 9.29 Atomic Percent = 9.72 Mass Percent
  Layer # 1- Cr = .170 Atomic Percent = .158 Mass Percent
====================================================================
 Total Ions calculated =50000.00
 Total Target Vacancies     = 53 /Ion
 Total Target Displacements = 56 /Ion
 Total Target Replacement Collisions = 3 /Ion

!!!! NOTE : 2nd Column below is number of Primary Knock-Ons !!!!
           ( PKO are number of Target Atoms Recoiling from the Ion. )
==========================================================
  Table Units are  >>>> Vacancies / Angstrom / Ion  <<<<  
==========================================================
   TARGET    
   DEPTH          H           Fe           Ni           Cr       
   (Ang.)     Knock-Ons    Vacancies    Vacancies    Vacancies   
-----------  -----------  -----------  -----------  -----------  
330000.E+00  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
335000.E+00  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
340000.E+00  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
345000.E+00  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
350000.E+00  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
355000.E+00  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
360000.E+00  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
365000.E+00  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
370000.E+00  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
375000.E+00  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
380000.E+00  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
385000.E+00  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
390000.E+00  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
395000.E+00  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
400000.E+00  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
405000.E+00  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
410000.E+00  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
415000.E+00  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
420000.E+00  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
425000.E+00  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
430000.E+00  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
435000.E+00  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
440000.E+00  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
445000.E+00  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
450000.E+00  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
455000.E+00  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
460000.E+00  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
465000.E+00  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
470000.E+00  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
475000.E+00  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
480000.E+00  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
485000.E+00  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
490000.E+00  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
495000.E+00  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
500000.E+00  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  

 To convert to Energy Lo- multiply by Average Binding Energy =  3  eV/Vacancy
